,interval,trainning_period,spread_window,z_score_window,z_score_threshod,test_average_returns,test_win_rate,test_ave_loss,tradeable_num
82,30m,200,80,40,1.2,3.9503904126472564,0.6,-9.118047446595074,3
83,30m,200,80,40,1.6,5.545046456597031,0.6,-10.369655048222905,3
84,30m,200,80,80,1.2,1.2936706994409626,0.2222222222222222,-18.20907226288622,1
85,30m,200,80,80,1.6,-9.10453613144311,0.0,-18.20907226288622,0
86,30m,200,80,120,1.2,0.0,0.0,,0
87,30m,200,80,120,1.6,0.0,0.0,,0
88,30m,200,120,20,1.2,-2.0081350120533203,0.3666666666666666,-11.502980484305246,1
89,30m,200,120,20,1.6,-1.159145882256444,0.26666666666666666,-9.975913169538513,1
90,30m,200,120,40,1.2,3.8908495395067737,0.3333333333333333,-6.886115940514479,2
91,30m,200,120,40,1.6,-3.143177312091677,0.2,-5.724360264841176,1
92,30m,200,120,80,1.2,-0.2873589280654525,0.0,-1.14943571226181,0
93,30m,200,120,80,1.6,-0.431308195494956,0.0,-0.646962293242434,0
94,30m,200,120,120,1.2,6.301998245967265,0.16666666666666666,,1
95,30m,200,120,120,1.6,-6.298323123070073,0.0,-12.596646246140146,0
96,30m,400,20,20,1.2,-7.245059668188684,0.25,-7.245059668188684,0
97,30m,400,20,20,1.6,-2.312589090650548,0.375,-3.8126461547916013,1
98,30m,400,20,40,1.2,11.35471112387505,0.25,-11.99171485889613,1
99,30m,400,20,40,1.6,15.359734356358324,0.25,-8.713567948509573,1
100,30m,400,20,80,1.2,-4.556045732830727,0.2,-7.064453571696574,1
101,30m,400,20,80,1.6,-4.247787063868014,0.0,-8.495574127736027,0
102,30m,400,20,120,1.2,-4.5442913504197575,0.08333333333333333,-5.4531496205037095,0
103,30m,400,20,120,1.6,-2.793692411702059,0.0,-8.381077235106178,0
104,30m,400,40,20,1.2,-5.587650036364603,0.25,-5.587650036364603,0
105,30m,400,40,20,1.6,-4.419904773676612,0.25,-4.419904773676612,0
106,30m,400,40,40,1.2,0.9789725636226487,0.16666666666666666,-2.264394757040653,1
107,30m,400,40,40,1.6,0.34725462483341246,0.14285714285714285,-2.3381268159223882,1
108,30m,400,40,80,1.2,-1.0849798382004359,0.0,-4.3399193528017435,0
109,30m,400,40,80,1.6,-0.18279015240650998,0.0,-0.7311606096260399,0
110,30m,400,40,120,1.2,8.153680959291634,0.25,,1
111,30m,400,40,120,1.6,-2.923886740797599,0.0,-11.695546963190395,0
112,30m,400,80,20,1.2,-5.2992968225137815,0.3333333333333333,-14.48707920856335,2
113,30m,400,80,20,1.6,-5.022146885310626,0.3333333333333333,-14.176554740896066,2
114,30m,400,80,40,1.2,-5.3474429051934145,0.2,-15.906158553640616,1
115,30m,400,80,40,1.6,-11.080466210217882,0.0,-22.160932420435763,0
116,30m,400,80,80,1.2,0.4210576327181762,0.25,,1
117,30m,400,80,80,1.6,4.725989087892913,0.5,,2
118,30m,400,80,120,1.2,0.4625364036778945,0.25,,1
119,30m,400,80,120,1.6,0.29756331071516606,0.25,,1
120,30m,400,120,20,1.2,1.8986446529489212,0.5,-11.82551847136114,2
121,30m,400,120,20,1.6,-7.769545936854782,0.16666666666666666,-13.443885794428462,1
122,30m,400,120,40,1.2,-4.223596134634136,0.0,-5.631461512845515,0
123,30m,400,120,40,1.6,-16.3626601324083,0.0,-21.8168801765444,0
124,30m,400,120,80,1.2,0.0,0.0,,0
125,30m,400,120,80,1.6,-0.06151438160640945,0.0,-0.2460575264256378,0
126,30m,400,120,120,1.2,0.0,0.0,,0
127,30m,400,120,120,1.6,0.0,0.0,,0
