,sym_1,sym_2,p_value,hedge_ratio,initial_intercept,trading_oppotunities,estimated_return,current_z_score,total_score
94,DYDXUSDT,OPUSDT,0.008632171683460284,1.37956018711002,0.18132918265682957,8,18.822369451802484,-2.649035703560658,18.822369451802484
2,BTCUSDT,LINKUSDT,0.014410578369662861,1826.4028949334697,18968.392862675726,6,18.441182048585347,-0.37401368315262856,18.441182048585347
4,BTCUSDT,DOGEUSDT,0.0019768977560779685,191086.41037668395,17709.143012627002,5,17.90367147982788,-0.626791885686105,17.90367147982788
1,BTCUSDT,LTCUSDT,3.2710266052103414e-05,68.47135241349733,23559.137933564274,4,17.54511667072014,0.4022623493941854,17.54511667072014
20,ETHUSDT,SOLUSDT,0.034898006421796544,-19.16257032352007,2277.3385216861884,5,16.970968062801525,0.009752122651414891,16.970968062801525
53,BNBUSDT,FTMUSDT,0.00858355622671082,166.24886092018158,189.89497031280044,5,16.669902075067267,-0.2717893243485725,16.669902075067267
50,LINKUSDT,OPUSDT,0.002558076827342395,4.32981383592843,0.9300513971264717,10,16.54809666358448,-1.6345693660048064,16.54809666358448
23,XRPUSDT,DOGEUSDT,0.0010702352280885755,5.925348039658577,0.07994149081057299,13,16.471409277377784,0.14841186425764896,16.471409277377784
73,YFIUSDT,MASKUSDT,0.0447843011089998,1208.3674972512958,2826.8917484479807,4,16.376103025221003,0.9121959808230246,16.376103025221003
16,BTCUSDT,LDOUSDT,0.00011273882663056481,2678.8443948541844,25016.422675267764,6,16.330237459333894,-0.20239079317028832,16.330237459333894
10,BTCUSDT,DYDXUSDT,0.04728067156735496,5531.999820659051,20002.837081531292,6,16.056546640110614,0.314631065818301,16.056546640110614
27,XRPUSDT,ARPAUSDT,0.00758154447540603,3.8954140926375453,0.27774831528881416,9,15.766328335822408,-0.48802565115892105,15.766328335822408
87,GRTUSDT,GMTUSDT,0.027796993046035057,0.4633957131306684,0.017151320608226196,7,15.493603627505316,-0.0061468277377090584,15.493603627505316
13,BTCUSDT,GMTUSDT,0.005005203174896752,32551.042841291597,23231.98900433407,4,15.483525426937872,-0.06930149633051289,15.483525426937872
15,BTCUSDT,OPUSDT,0.0038112107516342264,7950.9681196697875,20614.309841340175,6,15.279581428843782,-1.2051675234111203,15.279581428843782
3,BTCUSDT,BNBUSDT,0.00030614548993242716,75.87840145981004,12376.701569564077,6,15.05749866913668,0.0799090603564548,15.05749866913668
11,BTCUSDT,CELOUSDT,0.0054946116545786135,11349.443300110324,24587.037289669188,4,15.018655536624085,-0.7788112227718422,15.018655536624085
8,BTCUSDT,SFPUSDT,0.00559446668955726,12080.50910854411,24983.11340747832,5,14.525310871574883,-1.2356689585706968,14.525310871574883
9,BTCUSDT,XEMUSDT,0.002988530238945114,246114.10486359528,23438.36981038588,6,14.492480808567564,-0.5921860840994095,14.492480808567564
26,XRPUSDT,CELOUSDT,0.012953687565690104,0.3641615448556271,0.28698652688005644,6,13.922622203772358,-0.37538721520825885,13.922622203772358
88,GRTUSDT,APTUSDT,0.03529093109953637,0.013707424864479806,0.018805672677246196,6,13.84898749277599,0.03433490317981451,13.84898749277599
52,ADAUSDT,1000XECUSDT,0.02030348718829444,-0.6065468528650076,0.30703432911279854,3,13.759146700626875,-0.41604317890708686,13.759146700626875
46,LINKUSDT,DYDXUSDT,0.037944018410732375,2.9446003355982096,0.7243482906111904,11,13.565183847153133,0.8951375091695056,13.565183847153133
49,LINKUSDT,GMTUSDT,0.004886621355936661,18.273715485638906,2.235496043829852,7,13.540478028023538,0.5413848102431899,13.540478028023538
70,DOTUSDT,OPUSDT,0.031040873153814503,2.8991798631613923,1.6086031647932588,6,12.906015215155463,-1.6096621310474433,12.906015215155463
60,DOGEUSDT,FTMUSDT,0.0070929902307932235,0.06545499168429907,0.04765861984677905,11,12.62888407688236,0.704451889637957,12.62888407688236
17,BTCUSDT,APTUSDT,0.004969461918060092,971.0454567585595,23288.609636260095,4,11.580552302866423,-0.021240619776158827,11.580552302866423
89,SANDUSDT,GMTUSDT,0.029032711151947974,1.3279117739154178,0.1307981000674412,6,11.543670804777626,-0.28656344540683903,11.543670804777626
6,BTCUSDT,FTMUSDT,0.014850975773789809,12476.00654024485,26825.019184536668,5,11.432668272698745,-0.11549184691194547,11.432668272698745
69,DOTUSDT,DYDXUSDT,0.0014581279089857168,2.0415070680282406,1.3399936039668532,9,11.299608503769955,0.9043226413968688,11.299608503769955
7,BTCUSDT,SANDUSDT,0.0045376332010500335,25824.985898468305,19472.15948689757,5,11.145030746582337,0.16631438749537675,11.145030746582337
14,BTCUSDT,APEUSDT,0.002621676290590022,2453.1274792974455,25442.648403433628,5,11.110272562836556,-1.026881100925491,11.110272562836556
24,XRPUSDT,FTMUSDT,0.03852613960031839,0.3917031650284482,0.36123921630529754,5,10.95982066075386,0.727380364700094,10.95982066075386
34,LTCUSDT,DOTUSDT,0.02841664569128717,35.31228394413429,-82.95018536570747,7,10.915420635552657,-1.0119790822140646,10.915420635552657
19,ETHUSDT,BNBUSDT,0.04581593611018839,9.257505544068305,-310.28427363683977,7,10.458556960202928,0.6951400584326468,10.458556960202928
