,interval,trainning_period,spread_window,z_score_window,z_score_threshod,test_average_returns,test_win_rate,test_ave_loss,tradeable_num
698,15m,600,80,200,1.6,0,0,,0
699,15m,600,80,200,2,0,0,,0
704,15m,600,120,40,0.8,0,0,,0
705,15m,600,120,40,1.2,0,0,,0
707,15m,600,120,40,2,0,0,,0
708,15m,600,120,60,0.8,0,0,,0
709,15m,600,120,60,1.2,0,0,,0
712,15m,600,120,80,0.8,0,0,,0
713,15m,600,120,80,1.2,0,0,,0
716,15m,600,120,120,0.8,0,0,,0
717,15m,600,120,120,1.2,0,0,,0
718,15m,600,120,120,1.6,0,0,,0
719,15m,600,120,120,2,0,0,,0
721,15m,600,120,160,1.2,0,0,,0
722,15m,600,120,160,1.6,0,0,,0
725,15m,600,120,200,1.2,0,0,,0
726,15m,600,120,200,1.6,0,0,,0
727,15m,600,120,200,2,0,0,,0
732,15m,600,160,40,0.8,0,0,,0
733,15m,600,160,40,1.2,0,0,,0
734,15m,600,160,40,1.6,0,0,,0
735,15m,600,160,40,2,0,0,,0
737,15m,600,160,60,1.2,0,0,,0
740,15m,600,160,80,0.8,0,0,,0
741,15m,600,160,80,1.2,0,0,,0
742,15m,600,160,80,1.6,0,0,,0
744,15m,600,160,120,0.8,0,0,,0
746,15m,600,160,120,1.6,0,0,,0
747,15m,600,160,120,2,0,0,,0
753,15m,600,160,200,1.2,0,0,,0
754,15m,600,160,200,1.6,0,0,,0
755,15m,600,160,200,2,0,0,,0
760,15m,600,200,40,0.8,0,0,,0
762,15m,600,200,40,1.6,0,0,,0
764,15m,600,200,60,0.8,0,0,,0
768,15m,600,200,80,0.8,0,0,,0
769,15m,600,200,80,1.2,0,0,,0
770,15m,600,200,80,1.6,0,0,,0
771,15m,600,200,80,2,0,0,,0
772,15m,600,200,120,0.8,0,0,,0
773,15m,600,200,120,1.2,0,0,,0
774,15m,600,200,120,1.6,0,0,,0
775,15m,600,200,120,2,0,0,,0
782,15m,600,200,200,1.6,0,0,,0
409,15m,400,20,120,1.2,-0.012187537,0,-0.012187537,0
637,15m,600,40,160,1.2,-0.013978308,0,-0.013978308,0
274,15m,300,60,160,1.6,-0.080059642,0.5,-7.798160819,1
411,15m,400,20,120,2,-0.107411061,0,-0.107411061,0
44,15m,200,40,120,0.8,-0.178578145,0.25,-0.35715629,0
103,15m,200,80,120,2,-0.201273613,0,-0.201273613,0
68,15m,200,60,80,0.8,-0.219226069,0,-0.219226069,0
62,15m,200,60,40,1.6,-0.311264001,0,-0.622528002,0
94,15m,200,80,60,1.6,-0.339290253,0.333333333,-6.179808654,1
208,15m,300,20,80,0.8,-0.485824467,0,-0.485824467,0
600,15m,600,20,80,0.8,-0.485824467,0,-0.485824467,0
