,sym_1,sym_2,p_value,hedge_ratio,initial_intercept,trading_oppotunities,estimated_return_first_499intervals,current_z_score,total_score
27,BCHUSDT,UNIUSDT,0.0015516652560763453,-18.88966914865024,393.11645442759846,4,117.21521415818339,-1.4210855258817652,117.21521415818339
25,BCHUSDT,CRVUSDT,1.1502930807373497e-06,-244.17567520608034,478.8388612729912,6,117.19890160181133,-1.2173219116140537,117.19890160181133
85,LTCUSDT,WAVESUSDT,0.037937678239719,-58.376498560014646,219.25027105123266,7,115.80925663653213,-0.5057299838052576,115.80925663653213
20,BCHUSDT,KAVAUSDT,0.028513419702432805,-72.23127208722667,359.1714529113672,6,115.44150829237147,-1.546768125492812,115.44150829237147
43,BCHUSDT,FLOWUSDT,0.014766937196820224,-35.087871785649845,312.83080950842344,4,115.27886443027742,-1.7065981703789515,115.27886443027742
36,BCHUSDT,SANDUSDT,0.0001717699964570038,-343.5776436449137,440.53310164090345,5,114.17085531114549,-1.5626028921876145,114.17085531114549
47,BCHUSDT,APTUSDT,0.0004470844308742753,-16.946789562763904,416.5039901650452,7,113.53343872413532,-1.3027148262852968,113.53343872413532
26,BCHUSDT,STORJUSDT,1.7296930145023888e-05,-117.54928164899236,330.8244824055825,4,112.07689735138587,0.27513291292465614,112.07689735138587
13,BCHUSDT,LINKUSDT,0.0007172841929494202,-21.699031569014252,429.4734003799681,4,111.8951132879314,-1.50213851045768,111.8951132879314
33,BCHUSDT,OCEANUSDT,2.6418315155790852e-05,-612.5590095503468,491.209712841966,5,111.7059566013911,-0.7254875436806805,111.7059566013911
196,KAVAUSDT,MKRUSDT,0.005129427815254953,9.401376837023693e-05,0.8717399311434315,4,110.24158552129428,0.2708775696108954,110.24158552129428
41,BCHUSDT,MASKUSDT,0.01809906927745117,-17.762884096663672,352.9562212828545,4,104.41158709485973,-1.6038966463277005,104.41158709485973
11,BCHUSDT,XRPUSDT,0.0002837978180140015,-658.5962662528758,606.7345151459339,5,99.38376444688005,-1.1137075634994358,99.38376444688005
38,BCHUSDT,MTLUSDT,0.001928034110097835,-86.57776108247913,403.0103601340083,5,97.14129606807049,-0.5663801512803602,97.14129606807049
30,BCHUSDT,AAVEUSDT,2.5444245360852247e-05,-1.3632807471643151,386.663673484272,6,93.67056525817905,-0.4590221417461856,93.67056525817905
22,BCHUSDT,MKRUSDT,3.5289147961971147e-05,-0.0651804101284648,347.62018423912275,7,92.39429167627304,-1.0216925646118862,92.39429167627304
176,COMPUSDT,APEUSDT,0.02394898489476145,-75.64924744547866,226.76679698256507,5,88.25884387025802,0.20315810898289893,88.25884387025802
18,BCHUSDT,COMPUSDT,0.01767752666984628,-0.3631743306222433,311.81545131777614,4,84.78403738482622,-1.492991184440304,84.78403738482622
236,CRVUSDT,AAVEUSDT,0.01087360764103678,0.0051279453488400056,0.409699923544071,8,84.02596846048029,-2.1010851550171483,84.02596846048029
199,KAVAUSDT,STORJUSDT,0.0250432572975299,0.10243292582522118,0.919146073430579,6,83.26912668396345,-0.06740157199692283,83.26912668396345
228,SNXUSDT,NKNUSDT,0.007554879206793603,-10.181855398118149,3.2864526567555536,6,81.38980261247742,-0.36453354943527705,81.38980261247742
108,ETCUSDT,GALAUSDT,0.04732282168410792,-445.5804316541789,31.446975760549222,4,80.27193177919492,-0.8525234315656574,80.27193177919492
182,DOGEUSDT,FILUSDT,0.04431126843910515,0.0022701385816804634,0.05797661669351261,3,78.5547142263663,0.5283241527331173,78.5547142263663
29,BCHUSDT,TOMOUSDT,0.0016649966775848272,228.14420587391098,47.89747413377251,5,76.79130403940839,0.11057344209326633,76.79130403940839
229,SNXUSDT,1000SHIBUSDT,0.01815769708801894,-234.46885972082418,4.0565288559592725,5,73.07809446439545,-1.1706907354116047,73.07809446439545
273,TOMOUSDT,LINAUSDT,0.03142957733194318,50.347428784970305,0.3637287261254452,4,72.06270592469012,-2.0469115612360413,72.06270592469012
106,ETCUSDT,MASKUSDT,0.03273605296951121,-2.0575816759144145,27.54486717109971,3,69.97610173850924,-1.0243051458216625,69.97610173850924
109,ETCUSDT,GMTUSDT,0.011758759057743188,-35.97092514052896,28.446713654090512,3,67.7874433724966,-0.7020378631654824,67.7874433724966
292,BELUSDT,CELOUSDT,0.00043675557667356794,0.31939680749290444,0.5167658646583695,9,67.60672834195465,0.7255621902182541,67.60672834195465
276,TOMOUSDT,1000SHIBUSDT,0.04700641386459591,-44.784509971861354,1.4039870827059326,6,65.7668980681245,-2.5267180831924705,65.7668980681245
15,BCHUSDT,BNBUSDT,0.011293381227879302,-0.5345385144398591,420.80782712166194,5,63.47853822577812,-1.7101996942282551,63.47853822577812
23,BCHUSDT,SNXUSDT,0.00017146726411858683,124.0899242581026,8.92078585879348,7,62.92468216972066,-0.8223523812215334,62.92468216972066
104,ETCUSDT,OCEANUSDT,0.016077922967487817,-27.22141140587337,29.209854224433236,3,61.15485932386635,-0.41184965643133103,61.15485932386635
175,COMPUSDT,SOLUSDT,0.002755892739641502,9.719962204724693,-125.30578697576331,6,61.082554971863814,0.6966614601538819,61.082554971863814
192,DOGEUSDT,INJUSDT,0.010149847792193982,0.0033868303119713276,0.038823983896359986,3,60.67107866183852,0.4877721768504704,60.67107866183852
168,ONTUSDT,FLOWUSDT,0.03710797344656677,-0.00976297307981508,0.21117789424662678,2,60.61454343839357,-0.41780267452318987,60.61454343839357
126,ADAUSDT,MKRUSDT,0.004322204347078822,4.228536588723277e-05,0.25350736519082945,8,59.83027666944288,-0.00769627801612118,59.83027666944288
76,EOSUSDT,FLOWUSDT,0.04562091715164504,0.09535002588187894,0.6936476230842461,4,59.06612070969334,0.13137540141463472,59.06612070969334
74,EOSUSDT,CELOUSDT,0.04819876172057956,0.06601273184273061,0.7203170425989845,4,58.8823307470058,0.0600054438752926,58.8823307470058
244,SOLUSDT,APEUSDT,0.0021089553152840715,-5.134285039257019,30.363579367589754,9,57.906896533495505,0.03338305470972352,57.906896533495505
222,SNXUSDT,CRVUSDT,0.00019944248355012519,-1.6445961839456422,3.5373090454545983,7,56.67423252058768,-0.9900365133861859,56.67423252058768
189,DOGEUSDT,CELOUSDT,0.013835561833975647,0.009970995383928191,0.0624457954648876,2,56.62135554872086,0.9622273823383123,56.62135554872086
226,SNXUSDT,OCEANUSDT,0.014947323238629791,-3.374130065583683,3.374012861751387,4,55.696406812029764,-0.5982425134800671,55.696406812029764
234,CRVUSDT,STORJUSDT,0.02480084899656437,0.32315253704815666,0.6608403068080997,3,55.19711835543294,-1.6698830514466714,55.19711835543294
275,TOMOUSDT,NKNUSDT,0.012533997012738286,-2.7428904832092553,1.3368150377571086,5,54.31322491782738,-2.1025038196697126,54.31322491782738
225,SNXUSDT,MATICUSDT,0.02357082510114722,-1.3440450762956382,3.1789201055474154,4,54.30186220772562,-1.1348506678038262,54.30186220772562
96,LTCUSDT,DYDXUSDT,0.0323812616559344,34.11377232360033,36.92599228533528,3,54.07123377938177,0.22959480466306423,54.07123377938177
242,SOLUSDT,GRTUSDT,0.012612565560144316,24.818497354161988,16.107628352254387,6,53.51082831040081,0.2141656736377248,53.51082831040081
264,FTMUSDT,FILUSDT,0.0010091470569222234,0.019048495450255578,0.22972754423906813,6,52.98327617896842,0.14191364563839515,52.98327617896842
271,TOMOUSDT,OCEANUSDT,0.00828404144123778,-1.2102529194885174,1.4592601171410635,6,52.852069624034456,-2.088230303083881,52.852069624034456
105,ETCUSDT,MTLUSDT,0.02479434013731709,-5.973722496859621,28.060332374282474,4,52.25827424773013,0.15640882704968007,52.25827424773013
93,LTCUSDT,NKNUSDT,0.013541230607066343,578.9947845585299,48.83579013673366,4,51.580556007700004,-1.3183790853459112,51.580556007700004
99,LTCUSDT,GMTUSDT,0.004892927952591361,254.43283979370392,49.033457174926546,3,51.44732870515982,-0.8750485137572901,51.44732870515982
69,EOSUSDT,GRTUSDT,0.04469850519079597,0.24386284513812392,0.7265814707453379,3,50.90554896129433,-0.015510996198553987,50.90554896129433
80,EOSUSDT,APTUSDT,0.036762936596484545,0.002709187588909208,0.7348907910539823,4,50.11611969893642,0.07007965145979261,50.11611969893642
193,DOGEUSDT,LDOUSDT,0.04361892846672595,0.012486060591092073,0.04127212546188372,4,50.015299742218815,0.8768752227098173,50.015299742218815
213,KAVAUSDT,1000XECUSDT,0.020139104660574548,-1.4268631163132774,1.0049058314905812,5,49.885119967400215,0.6469878954703713,49.885119967400215
166,ONTUSDT,GALAUSDT,0.012935622834261582,-2.47417245240859,0.26690407797040566,4,49.61385199168654,-0.22677097015185013,49.61385199168654
136,ADAUSDT,1000SHIBUSDT,0.002017193213698631,41.24359388390348,-0.024050886739582094,11,49.261944128551654,0.38306891460219505,49.261944128551654
70,EOSUSDT,LINAUSDT,0.017476021036664256,12.739557737872383,0.5783502055136455,4,48.758700342898784,0.5250596399884695,48.758700342898784
186,DOGEUSDT,MTLUSDT,0.009025237256456603,0.00962619519579278,0.05515625525927679,4,48.325151611669,0.010955814227334753,48.325151611669
73,EOSUSDT,GALAUSDT,0.040490971593208074,7.622128814325225,0.5640265934260389,3,48.14752406877956,-0.08099929314193695,48.14752406877956
84,LTCUSDT,SXPUSDT,0.002677502142046973,183.85183942000066,39.031483179029095,3,45.572398438033886,-0.6092938844863066,45.572398438033886
313,1000SHIBUSDT,APTUSDT,0.009692128930438951,0.00022863640159730093,0.00592884706379329,5,45.49235362610885,0.45669528655226205,45.49235362610885
75,EOSUSDT,ARPAUSDT,0.010843820664632832,7.222556298939681,0.360074098701482,4,45.20501252522989,0.5891293408842978,45.20501252522989
65,EOSUSDT,STORJUSDT,0.03895761122745523,0.018046650797360453,0.7488453008451167,4,44.950238967026436,-0.05262501546254093,44.950238967026436
150,ONTUSDT,SXPUSDT,0.00547456882536835,-0.14967671709147734,0.26006822717477107,4,44.39204542604085,-0.34155197087011796,44.39204542604085
314,MASKUSDT,CELOUSDT,0.01035058047043237,1.157202947460222,2.9222294302429277,5,43.80177020465123,0.38884996700006597,43.80177020465123
227,SNXUSDT,MTLUSDT,0.016616609684599472,-0.6408262418601839,3.1017464713941942,6,43.756246960045374,-0.04509097777596214,43.756246960045374
296,AXSUSDT,INJUSDT,0.00423381436826045,0.5309836047802462,1.6548809944769967,5,43.62401715020428,-0.6301869511762627,43.62401715020428
289,OCEANUSDT,MTLUSDT,0.001639084118558401,0.13449184745243992,0.15290337941551063,9,43.28639253848335,-0.23194573834570642,43.28639253848335
272,TOMOUSDT,SFPUSDT,0.04113528296303213,-0.5627100912568044,1.3273446630087273,5,43.278977088211796,-2.513631798887487,43.278977088211796
266,FTMUSDT,MTLUSDT,0.033465111206118586,0.10604511538246152,0.17313924394750752,3,43.09589751789407,-1.7469503925249699,43.09589751789407
223,SNXUSDT,TOMOUSDT,0.03359837888043528,1.2708714642492345,0.9170589128901826,6,42.89667384750618,0.20848747923825092,42.89667384750618
246,UNIUSDT,INJUSDT,0.004769168829422772,0.5389592266283445,0.8524016831952944,6,42.26651755257324,0.3785735688634819,42.26651755257324
305,SFPUSDT,LDOUSDT,0.013391171983755945,0.1129899873362133,0.23212877814574345,8,41.22572949587547,1.1995961687154322,41.22572949587547
95,LTCUSDT,MASKUSDT,0.0012067982172744701,23.34757004149286,24.356716366757336,3,40.865636762256806,-0.662824233509213,40.865636762256806
301,SFPUSDT,MTLUSDT,0.026877207694716923,0.12966208947290483,0.30233770839082574,6,40.55354028918625,-0.8769902419696828,40.55354028918625
