,sym_1,sym_2,hedge_ratio,initial_intercept,trading_oppotunities_first_499intervals,estimated_return_first_499intervals,estimated_return_next_100intervals,estimated_return_next_100-200intervals,estimated_return_next_200-300intervals,estimated_return_next_300-400intervals,estimated_return_next_400-500intervals,total_score
94,COMPUSDT,LINAUSDT,6244.877474877445,134.98921252059293,6,55.94220039115862,29.219353735171907,0.0,6.4374785702010415,10.628476579169382,-129.13162671261296,55.94220039115862
84,COMPUSDT,KAVAUSDT,167.8228400286753,93.85391297056427,7,55.71544970661357,-95.32674918975658,-119.13758107091549,8.579325134190167,21.50811955106688,54.111582117230434,55.71544970661357
101,COMPUSDT,OPUSDT,53.426197550379726,83.93069485128439,5,54.80767628163961,6.345460823056626,58.05132125870421,6.771965575126782,12.52995883594182,0.0,54.80767628163961
125,MKRUSDT,AAVEUSDT,6.330013510874801,595.1866547777879,4,52.76987781387791,14.255416929672116,4.211730785108294,10.999379772863398,17.751907595938505,10.988274288278564,52.76987781387791
95,COMPUSDT,1000SHIBUSDT,15194.856444388513,55.45553871675476,10,51.041471905879305,58.660804861255656,72.9269624895888,3.720791637763452,13.68755426536096,0.0,51.041471905879305
160,FTMUSDT,FILUSDT,0.10777348965317408,0.12751191362289127,2,50.91196413250084,1.527892373073583,2.4209930970952254,0.0,3.6917940993319123,0.666323022726862,50.91196413250084
75,ONTUSDT,FILUSDT,0.030771760667335554,0.0713159652081459,2,50.61643585211246,1.6018643494470572,27.740806088015177,7.335021147401097,-23.14338551147754,8.7615139991025,50.61643585211246
96,COMPUSDT,MASKUSDT,25.078725120819115,-54.71424458865821,5,49.93606131347917,-57.72943811215285,-46.54207595430815,5.6837976034745985,14.231419843106584,11.75038573201261,49.93606131347917
92,COMPUSDT,SANDUSDT,234.20424016661994,191.5993305070595,7,47.229693223951756,6.73898138469674,-93.83554289009795,8.758195892984357,13.473930229214357,-29.903152395211112,47.229693223951756
163,NEARUSDT,FILUSDT,0.2209051221513384,0.05420299224522318,2,47.20693913454757,15.144494220452065,3.4806650198952536,3.1215472033337175,0.0,4.276671014079809,47.20693913454757
83,COMPUSDT,DOGEUSDT,2106.3477460420254,13.326623582705302,6,46.32580342760739,-33.483307941660314,-21.95563948149342,5.042218129479103,10.780292144812893,0.0,46.32580342760739
55,LINKUSDT,FILUSDT,0.9498244297947182,5.412380360482953,3,46.064585491846145,0.0,2.061309449876252,4.161549972366762,0.0,2.4172617307615156,46.064585491846145
148,DOTUSDT,FILUSDT,0.7018263738053211,0.3223618676747302,2,45.26721118559027,1.6067663458809986,1.652151543851122,2.776524675173916,0.0,2.802581033643186,45.26721118559027
90,COMPUSDT,AXSUSDT,17.285560561398803,-9.208429256984942,6,44.76577546064318,7.857768181322796,-19.79018452980046,5.1252363243082195,14.583622558264768,0.0,44.76577546064318
26,EOSUSDT,FILUSDT,0.08289303845607292,0.1178800152907512,3,43.34895510830359,0.0,3.3734357977559712,3.1922417232253717,0.0,3.149591062986411,43.34895510830359
49,ETCUSDT,FILUSDT,1.9398631325051714,7.5591449376658595,2,39.51849963849447,3.196310857103988,2.7752504343368827,2.9263153644926203,1.539167935721405,0.0,39.51849963849447
87,COMPUSDT,NEARUSDT,60.36078550281173,138.40155850155062,5,38.247020965360896,-61.81535557217063,-29.895494037162607,8.467364652326635,12.764265775686994,0.0,38.247020965360896
68,BNBUSDT,FILUSDT,26.397211469780373,100.99412657676535,4,36.852910633719596,2.7128264542479026,3.0557109593409058,4.253358573363123,2.1785425815889132,2.1981028869744685,36.852910633719596
73,ONTUSDT,COMPUSDT,0.0016417739676440656,0.18401485054164016,7,36.31517093560429,2.2006896956752313,11.864509219761853,15.388368558746672,9.819220076466893,9.262013140479095,36.31517093560429
